dencoh_name,wrap_name
aco,detective
aco,ongeki
aco,phantom_thief
aco,summer_land
aco,summer_sea
ai,detective
ai,ongeki
ai,phantom_thief
ai,summer_land
ai,summer_sea
akehi,detective
akehi,phantom_thief
akehi,summer_land
akehi,summer_sea
akira,detective
akira,ongeki
akira,phantom_thief
akira,summer_land
akira,summer_sea
alice,phantom_thief
alice,summer_sea
amane,detective
amane,ongeki
amane,phantom_thief
amane,summer_land
amane,summer_sea
amelia,detective
amelia,ongeki
amelia,phantom_thief
amelia,summer_land
amelia,summer_sea
amira,detective
amira,ongeki
amira,phantom_thief
amira,summer_land
amira,summer_sea
anna,detective
anna,ongeki
anna,phantom_thief
anna,summer_land
anna,summer_sea
anushka,detective
anushka,ongeki
anushka,phantom_thief
anushka,summer_land
anushka,summer_sea
aruha,detective
aruha,ongeki
aruha,phantom_thief
aruha,summer_land
aruha,summer_sea
asa,detective
asa,ongeki
asa,summer_land
asahi,detective
asahi,ongeki
asahi,phantom_thief
asahi,summer_land
asahi,summer_sea
asuka,detective
asuka,ongeki
asuka,phantom_thief
asuka,summer_land
asuka,summer_sea
ataru,ongeki
ataru,phantom_thief
ataru,summer_land
aya,detective
aya,ongeki
aya,phantom_thief
aya,summer_land
aya,summer_sea
beatrice,ongeki
beatrice,phantom_thief
beatrice,summer_land
betty,detective
betty,ongeki
betty,phantom_thief
betty,summer_land
betty,summer_sea
charlotte,phantom_thief
charlotte,summer_sea
chell,detective
chell,ongeki
chell,phantom_thief
chell,summer_land
chell,summer_sea
chii,detective
chii,ongeki
chii,phantom_thief
chii,summer_land
chii,summer_sea
chiko,detective
chiko,ongeki
chiko,summer_land
chitose,detective
chitose,phantom_thief
chitose,summer_land
chitose,summer_sea
chizu,detective
chizu,ongeki
chizu,phantom_thief
chizu,summer_land
chizu,summer_sea
chloe,detective
chloe,ongeki
chloe,phantom_thief
chloe,summer_land
chloe,summer_sea
chocolat,detective
chocolat,ongeki
chocolat,phantom_thief
chocolat,summer_land
chocolat,summer_sea
comyu,detective
comyu,ongeki
comyu,phantom_thief
comyu,summer_land
comyu,summer_sea
dachu,ongeki
dachu,phantom_thief
dachu,summer_land
dachu,summer_sea
elena,detective
elena,ongeki
elena,phantom_thief
elena,summer_land
elena,summer_sea
emma,detective
emma,ongeki
emma,phantom_thief
emma,summer_land
emma,summer_sea
eria,detective
eria,ongeki
eria,summer_sea
estelle,detective
estelle,ongeki
estelle,phantom_thief
estelle,summer_land
estelle,summer_sea
fubu,detective
fubu,ongeki
fubu,phantom_thief
fubu,summer_land
futaba,detective
futaba,ongeki
futaba,phantom_thief
futaba,summer_land
futaba,summer_sea
hakari,detective
hakari,ongeki
hakari,phantom_thief
hakari,summer_land
hakari,summer_sea
harisha,detective
harisha,ongeki
harisha,phantom_thief
harisha,summer_land
harisha,summer_sea
haru,phantom_thief
haru,summer_sea
hermine,detective
hermine,ongeki
hermine,phantom_thief
hermine,summer_land
hermine,summer_sea
hibiki,detective
hibiki,ongeki
hibiki,phantom_thief
hibiki,summer_land
hibiki,summer_sea
hiiru,detective
hiiru,ongeki
hiiru,summer_sea
hikaru,detective
hikaru,ongeki
hikaru,phantom_thief
hikaru,summer_land
hikaru,summer_sea
himari,detective
himari,ongeki
himari,phantom_thief
himari,summer_land
himegi,ongeki
himegi,phantom_thief
himegi,summer_sea
hina,detective
hina,ongeki
hina,phantom_thief
hina,summer_land
hina,summer_sea
hitoha,detective
hitoha,ongeki
hitoha,phantom_thief
hitoha,summer_land
hitoha,summer_sea
hokone,detective
hokone,ongeki
hokone,phantom_thief
hokone,summer_land
ichigo,detective
ichigo,ongeki
ichigo,phantom_thief
ichigo,summer_land
ichigo,summer_sea
ichiho,ongeki
ichiho,phantom_thief
ichiho,summer_sea
imura,phantom_thief
imura,summer_sea
iori,ongeki
iori,phantom_thief
iori,summer_land
iroha,ongeki
iroha,phantom_thief
iroha,summer_land
iyo,detective
iyo,ongeki
iyo,phantom_thief
iyo,summer_land
iyo,summer_sea
izuna,phantom_thief
izuna,summer_sea
kanon,detective
kanon,ongeki
